1 2 3 4 5 6 7 8 9 10 
31 19 23 13 33 20 12 1  24 12
41 55 42 22 5 40  14 2 21  22
25 3 27 14 57 60   21  3 11  32
30 34 6 13 19 80   14 4  23 42
10 20 30 40 50 60 90 70 80 100
21 12 54 45 87 35 52 41 65 45
31 19 23 13 33 20 12 1  24 12
41 55 42 22 5 40  14 2 21  22
25 3 27 14 57 60   21  3 11  32
30 34 6 13 19 80   14 4  23 42
10 20 30 40 50 60 90 70 80 100
21 12 54 45 87 35 52 41 65 45
31 19 23 13 33 20 12 1  24 12
41 55 42 22 5 40  14 2 21  22
25 3 27 14 57 60   21  3 11  32
30 34 6 13 19 80   14 4  23 42
